Product Code,Product Name,Variant,Expected,Counted
40714628,Beats Solo 3 Wireless,,-1,0
40769827,Maestro,,-2,0
40856376,Samsung U Flex,,-2,0
40862973,EU to US Plug,,-2,0
40985327,Samsung Tab 3  inch,,-1,0
41146370,Apple Ipad Air 2,,-1,0
41470366,Reiko iPhone 6 Cases,,-4,0
41476891,A1238 BATTERY,,0,0
41624798,iPhone 6s Home Button,,-29,0
41780846,Galaxy S7 LCD,,-7,0
41803399,Apple IPOD TOUCH 4 4TH GEN LCD,,0,0
42205264,"Mac pro 15 A1398 Display""",,-1,0
42247596,LG G Pad F 8.0 V495 V496 LCD,,1,0
42298796,iphone 8 red housing back glass,,0,0
42355924,iPhone 6 Plus Battery,,-23,0
42627124,iphone 8 64 GB unlocked refurbished GSM/CDMA ,,-14,0
42669827,One plus 5T LCD,,-1,0
42730820,Sandisk Flash Drive 64GB,,-4,0
42790797,Galaxy S4 Battery,,3,0
42798656,1M Cable IP7 OEM,,-31,0
42854637,LG K7 LCD,,-1,0
42857637,RESET,,-540692060,0
43175915,A21s 64GB,,-7,0
43184955,iphone 6 plus 16GB Refurbished,,0,0
43388550,Revvl Plus (t-mobile),,-1,0
43396433,Galaxy J6,,0,0
43635049,iPad mini 1/2 Digitizer,,-21,0
43662222,Phone Battery,,-2,0
43869018,OtterBox - Commuter Case for Samsung Galaxy Note 9 - Black,,0,0
43970264,Google - Home Mini (1st Generation),,1,0
44156223,Alcatel 1SE,,-1,0
4444,Ps4 controller,,-1,0
44443773,J320 LCD,,-1,0
44524453,Samsung Gear Icon X 2018 SM-R140 Wireless Bluetooth Headset Black IconX 2018,,0,0
44644192,INLAND IK100 KEYBOARD,,10,0
44659460,iPhone 7 Plus Front camera Flex Cable,,-36,0
44818217,iPhone AUX Jack,,-10,0
44851415,LG K4,,-1,0
44922798,Logitech® MK270 Wireless Keyboard and Mouse Combo,,2,0
44925342,TCL A1 with simple $25 plan,,-2,0
44933917,LG Aristo LCD,,-46,0
45040022,Ipad 7th Generation,,0,0
45386960,Belkin S5 Micro USB Cable,,-3,0
45627057,Tempered Glass,,-29,0
45629293,Ipad Air 2 128 GB WIFI,,1,0
45656647,Estimation,,-1E+11,0
45676980,Galaxy S10 128gb,,-1,0
45775547,Jabra Talk 2,,-1,0
46056828,Logitech MK360,,-1,0
46118979,Tablet,,-1,0
46390428,iPhone 7 128GB ,,0,0
46435774,Samsun J727 Battery,,2,0
46457782,sandisk 64gb sd card,,-2,0
46561551,HS03 HP BATTERY (GENERIC),,-1,0
46563878,Car Mount Bonus Pack,,-1,0
46737287,Galaxy A10,,-3,0
46781109,Iphone 6 plus home button connection flex cable,,3,0
46827483,Keyboard usb,,-4,0
46853975,Galaxy A21s,,1,0
47031781,Galaxy S6 Battery,,-3,0
47131853,ZTE blade t2 With $25 SMPL PLAN,,-3,0
47151088,Sandisk 8GB micro SD card,,-2,0
47259068,SAMSUNG MICROUSB CABLE,,-1,0
47357788,Car Adapter,,-1,0
47751457,OtterBox - Commuter Case for Samsung Galaxy S10 - Bespoke Way,,2,0
47767939,HP 14-AN012NR Laptop Motherboard AMD E2-7110 1.8 GHz 858047-601,,1,0
47774253,16GB SINGLE RAM UPGRADE,,0,0
48457153,Otterbox - Symmetry Case for Apple iPhone Xs / X - Black,,0,0
48560758,OtterBox - Symmetry Case for Samsung Galaxy Note 9 - Gradient Energy,,1,0
48634673,Iphone 8 64 GB new,,-1,0
48647143,Logitech WebCam,,-1,0
48860794,"mophie - Powerstation Mini Power Bank 5,000 mAh - Gray",,0,0
48913422,SAMSUNG RC512 BATTERY,,-1,0
48961090,iPhone 6s 64GB Refurbished,Space Gray,-10,0
